title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Facing El Chapo,https://cinejoy.to/movie/1621552-facing-el-chapo-2026,https://image.tmdb.org/t/p/w500/z8eF0ACFFKtIZ4pUeo02PCzxRVO.jpg,"Aug 21, 2026",8.8,1h 31m,R,Chava Cartas,Two Mexican officers must survive the final hours of their shift after crossing a ruthless cartel boss.,ES,Alfonso Herrera | Carmona | Noé Hernández | Rosales | Hector Kotsifakis | El Chapo Guzmán | J | Juan Pablo Cruz García | Cholo Iván | Paola Fernández | Isaura | A | Antonio Fortier | Barraza | A | Allan Durell | Ortega | Gerardo Trejoluna | Valladares | I,1621552
The Whisper Man,https://cinejoy.to/movie/860508-the-whisper-man-2026,https://image.tmdb.org/t/p/w500/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg,"Aug 27, 2026",6.8,1h 54m,R,James Ashcroft,"When his young son vanishes, a widower enlists help from his estranged father, a retired detective who put away the serial killer now linked to the case.",EN,Robert De Niro | Peter Willis | Michelle Monaghan | Amanda Beck | Adam Scott | Tom Kennedy | Acston Luca Porto | Jake Kennedy | Michael Keaton | Frank Carter | Owen Teague | Frank Carter Jr. | Hamish Linklater | Norman Collins | Will Brill | Sgt. John Dyson | Aniela Zeig | Little Girl | Exavier Montanez | Neil Spencer,860508
Ghost in the Cell,https://cinejoy.to/movie/1393326-ghost-in-the-cell-2026,https://image.tmdb.org/t/p/w500/zxcMdx0w5Zmg8yZuuiS7CJ8vOea.jpg,"Apr 16, 2026",7.1,1h 46m,R,Joko Anwar,"In a notorious prison, an invisible force begins killing inmates brutally, compelling enemy gangs and corrupt guards to work together as they try to survive the mounting bloodshed.",ID,Abimana Aryasatya | Anggoro | Bront Palarae | Jefry | Dimas Danang | Irfan | Endy Arfian | Dimas | Lukman Sardi | Pendi | Mike Lucock | Wildan | Yoga Pratama | Six | Morgan Oey | Bimo | Aming | Tokek | Rio Dewanto | Endy,1393326
Toy Story 5,https://cinejoy.to/movie/1084244-toy-story-5-2026,https://image.tmdb.org/t/p/w500/9VWplgfRcYkUao9QGQXUP3rWQK7.jpg,"Jun 17, 2026",8.3,1h 42m,PG,Andrew Stanton,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",EN,Joan Cusack | Jessie (voice) | Tom Hanks | Woody (voice) | Tim Allen | Buzz Lightyear (voice) | Conan O'Brien | Smarty Pants (voice) | Scarlett Spears | Bonnie (voice) | Greta Lee | Lilypad (voice) | Shelby Rabara | Snappy (voice) | Mykal-Michelle Harris | Blaze (voice) | Craig Robinson | Atlas (voice) | Jay Hernandez | Bonnie’s Dad (voice),1084244
Rage of Stars,https://cinejoy.to/movie/1323244-rage-of-stars-2026,https://image.tmdb.org/t/p/w500/oLld47ZT1I3iecM3OWhIphohQUJ.jpg,"Aug 6, 2026",5.9,1h 46m,,Łukasz Róg,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity.",EN,Andrea Tivadar | Jemma | Jord Knotter | Luk | Jack McEvoy | Kriss | Elijah Rowen | Tom | Małgorzata Klara | Commander | M | Mayu Gralińska Sakai | Maya | J | Jakub Ormaniec | Mike,1323244
Above & Below,https://cinejoy.to/movie/1514682-above-below-2026,https://image.tmdb.org/t/p/w500/7bOuu1SRALGwsG2fLCTvRkCmQBj.jpg,"Jul 29, 2026",6.3,1h 36m,,Jesse V. Johnson,A group of friends set off for an unforgettable vacation. What begins as an adventure of partying and diving quickly turns into a nightmare when they are attacked by criminals in open waters.,EN,Laura Marano | Tatiana | Christina Ochoa | Mario Tardón | Antonio Banderas | Burns | Ramiro Alonso | Ryan Bertroche | Jess Liaudin | D | Diego Llinás | Louis Mandylor | Timothy V. Murphy | Rodrigo Poisón | Donncha Tynan | TJ,1514682
Minions & Monsters,https://cinejoy.to/movie/1315772-minions-monsters-2026,https://image.tmdb.org/t/p/w500/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg,"Jun 24, 2026",7.6,1h 30m,PG,Pierre Coffin,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",EN,Pierre Coffin | The Minions (voice) | Trey Parker | Goomi (voice) | Christoph Waltz | Max (voice) | Allison Janney | Olivia (voice) | Jesse Eisenberg | Dort (voice) | Jeff Bridges | Frank / Elwood (voice) | Zoey Deutch | Debbie (voice) | Bobby Moynihan | Phillips (voice) | Phil LaMarr | Howard (voice) | George Lucas | George Lucas (voice),1315772
Pinocchio: Unstrung,https://cinejoy.to/movie/1232569-pinocchio-unstrung-2026,https://image.tmdb.org/t/p/w500/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg,"Jul 22, 2026",6.6,1h 22m,,Rhys Frake-Waterfield,"Influenced by a sinister Cricket and created by Geppetto, Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.",EN,Jude Evan Lloyd | Pinocchio (voice) | Cameron Bell | James | Richard Brake | Geppetto | Jessica Balmer | Mia | Jack Art Gray | Dudley | Robert Englund | Cricket (voice) | Emma Tate | Woodmother (voice) | Toni Olabanji | Trey | Luca Marandola | Logan | Karolina Ugrenyuk | Amanda,1232569
Moana,https://cinejoy.to/movie/1108427-moana-2026,https://image.tmdb.org/t/p/w500/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,"Jul 8, 2026",6.2,1h 55m,PG,Thomas Kail,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",EN,Catherine Lagaʻaia | Moana | Dwayne Johnson | Maui | Rena Owen | Gramma Tala | John Tui | Chief Tui | Frankie Adams | Sina | Jemaine Clement | Tamatoa (voice) | E | Emma Puahi-Shapazian | Moana (4 years old) | A | Amaya Masoli | Moana (8 years old) | Sam Puefua | Village Fisherman,1108427
Batman: Knightfall Part 1: Knightfall,https://cinejoy.to/movie/1560520-batman-knightfall-part-1-knightfall-2026,https://image.tmdb.org/t/p/w500/360qdtu2hLnqMu8SVHMywn420w1.jpg,"Jun 23, 2026",9.1,1h 19m,R,Jeff Wamester,"Arkham Asylum has been destroyed, and all its inmates have been unleashed upon Gotham City. As Batman races to round up some of his greatest enemies, he is pushed to his physical and mental limits and into a final confrontation with a new threat: the man called Bane!",EN,Anson Mount | Batman / Bruce Wayne (voice) | Michael Mando | Bane (voice) | Pablo Schreiber | Azrael / Jean-Paul Valley (voice) | Jeff Bennett | Ventriloquist / Scarface / Vincent (voice) | Luis Bermudez | Catman / Doctor / Guard (voice) | Bruce Boxleitner | Commissioner Jim Gordon (voice) | Jessica Camacho | Renee Montoya (voice) | Anthony Crivello | Franco Bertinelli / Priest / Prisoner (voice) | David Dastmalchian | The Riddler (voice) | Jason Flemyng | Mad Hatter (voice),1560520
