title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Casablanca,https://cinejoy.to/movie/289-casablanca-1943,https://image.tmdb.org/t/p/w500/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,1943-01-15,8.138,102,,Michael Curtiz,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",en,Humphrey Bogart as Rick Blaine | Ingrid Bergman as Ilsa Lund | Paul Henreid as Victor Laszlo | Claude Rains as Captain Louis Renault | Conrad Veidt as Major Heinrich Strasser | Sydney Greenstreet as Signor Ferrari | Peter Lorre as Ugarte | S.Z. Sakall as Carl | Madeleine Lebeau as Yvonne | Dooley Wilson as Sam,289
Pulp Fiction,https://cinejoy.to/movie/680-pulp-fiction-1994,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,1994-09-10,8.48,154,,Quentin Tarantino,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",en,John Travolta as Vincent Vega | Samuel L. Jackson as Jules Winnfield | Uma Thurman as Mia Wallace | Bruce Willis as Butch Coolidge | Ving Rhames as Marsellus Wallace | Harvey Keitel as The Wolf | Eric Stoltz as Lance | Tim Roth as Pumpkin | Amanda Plummer as Honey Bunny | Maria de Medeiros as Fabienne,680
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://cinejoy.to/movie/935-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964,https://image.tmdb.org/t/p/w500/gHm96BRW4GoI339rF1vYoYTB6Qe.jpg,1964-01-29,8.1,95,,Stanley Kubrick,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.",en,"Peter Sellers as Group Capt. Lionel Mandrake / President Merkin Muffley / Dr. Strangelove | George C. Scott as General 'Buck' Turgidson | Sterling Hayden as Brigadier General Jack D. Ripper | Keenan Wynn as Colonel Bat Guano | Slim Pickens as Major ""King"" Kong | Peter Bull as Botschafter De Sadesky | James Earl Jones as Lt. Lothar Zogg | Tracy Reed as Miss Scott | Jack Creley as Mr. Staines | Frank Berry as Lt. Dietrich",935
Citizen Kane,https://cinejoy.to/movie/15-citizen-kane-1941,https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,1941-04-17,7.966,119,,Orson Welles,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",en,Orson Welles as Charles Foster Kane | Joseph Cotten as Jedediah Leland | Dorothy Comingore as Susan Alexander Kane | Ray Collins as Jim W. Gettys | George Coulouris as Walter Parks Thatcher | Agnes Moorehead as Mary Kane | Paul Stewart as Raymond | Ruth Warrick as Emily Norton Kane | Erskine Sanford as Herbert Carter | William Alland as Jerry Thompson/Narrator,15
All About Eve,https://cinejoy.to/movie/705-all-about-eve-1950,https://image.tmdb.org/t/p/w500/blBzZaatPWVuWpXEnPscMA4Xp6m.jpg,1950-11-09,8.072,139,,Joseph L. Mankiewicz,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",en,Bette Davis as Margo Channing | Anne Baxter as Eve Harrington | George Sanders as Addison DeWitt | Celeste Holm as Karen Richards | Gary Merrill as Bill Sampson | Hugh Marlowe as Lloyd Richards | Thelma Ritter as Birdie Coonan | Gregory Ratoff as Max Fabian | Marilyn Monroe as Miss Caswell | Barbara Bates as Phoebe,705
It's a Wonderful Life,https://cinejoy.to/movie/1585-it-s-a-wonderful-life-1946,https://image.tmdb.org/t/p/w500/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,1946-12-20,8.277,131,,Frank Capra,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",en,James Stewart as George Bailey | Donna Reed as Mary Hatch | Lionel Barrymore as Mr. Potter | Thomas Mitchell as Uncle Billy | Henry Travers as Clarence | Beulah Bondi as Mrs. Bailey | Frank Faylen as Ernie | Ward Bond as Bert | Gloria Grahame as Violet | H.B. Warner as Mr. Gower,1585
Sunset Boulevard,https://cinejoy.to/movie/599-sunset-boulevard-1950,https://image.tmdb.org/t/p/w500/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg,1950-08-10,8.272,110,,Billy Wilder,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,en,William Holden as Joe Gillis | Gloria Swanson as Norma Desmond | Erich von Stroheim as Max von Mayerling | Nancy Olson as Betty Schaefer | Fred Clark as Sheldrake | Lloyd Gough as Morino | Jack Webb as Artie Green | Franklyn Farnum as Undertaker | Larry J. Blake as Finance Man #1 | Charles Dayton as Finance Man #2,599
Star Wars,https://cinejoy.to/movie/11-star-wars-1977,https://image.tmdb.org/t/p/w500/fai0rspsNeJCS69wHNjOdWxcI7P.jpg,1977-05-25,8.207,121,,George Lucas,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,en,"Mark Hamill as Luke Skywalker | Harrison Ford as Han Solo | Carrie Fisher as Princess Leia Organa | Peter Cushing as Grand Moff Tarkin | Alec Guinness as Obi-Wan ""Ben"" Kenobi | Anthony Daniels as C-3PO | Kenny Baker as R2-D2 | Peter Mayhew as Chewbacca | David Prowse as Darth Vader (performer) | James Earl Jones as Darth Vader (voice) (uncredited)",11
Whiplash,https://cinejoy.to/movie/244786-whiplash-2014,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg,2014-10-10,8.376,107,,Damien Chazelle,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",en,Miles Teller as Andrew | J.K. Simmons as Fletcher | Paul Reiser as Jim | Melissa Benoist as Nicole | Austin Stowell as Ryan | Nate Lang as Carl | Chris Mulkey as Uncle Frank | Damon Gupton as Mr. Kramer | Suanne Spoke as Aunt Emma | Max Kasch as Dorm Neighbor,244786
Apocalypse Now,https://cinejoy.to/movie/28-apocalypse-now-1979,https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,1979-05-19,8.261,147,,Francis Ford Coppola,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",en,"Martin Sheen as Captain Benjamin Willard | Marlon Brando as Colonel Walter Kurtz | Frederic Forrest as Jay 'Chef' Hicks | Albert Hall as Chief Phillips | Laurence Fishburne as Tyrone 'Clean' Miller | Sam Bottoms as Lance B. Johnson | Robert Duvall as Lieutenant Colonel Bill Kilgore | G.D. Spradlin as General Corman | Harrison Ford as Colonel | Jerry Ziesmer as Jerry, Civilian",28
Lawrence of Arabia,https://cinejoy.to/movie/947-lawrence-of-arabia-1962,https://image.tmdb.org/t/p/w500/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg,1962-12-11,8.0,228,,David Lean,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",en,Peter O'Toole as T.E. Lawrence | Alec Guinness as Prince Feisal | Omar Sharif as Sherif Ali | Anthony Quinn as Auda abu Tayi | Jack Hawkins as General Allenby | José Ferrer as Turkish Bey | Anthony Quayle as Colonel Harry Brighton | Claude Rains as Mr. Dryden | Arthur Kennedy as Jackson Bentley | Donald Wolfit as General Murray,947
Saving Private Ryan,https://cinejoy.to/movie/857-saving-private-ryan-1998,https://image.tmdb.org/t/p/w500/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,1998-07-24,8.233,169,,Steven Spielberg,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",en,Tom Hanks as Captain Miller | Tom Sizemore as Sergeant Horvath | Edward Burns as Private Reiben | Barry Pepper as Private Jackson | Adam Goldberg as Private Mellish | Vin Diesel as Private Caparzo | Giovanni Ribisi as T/4 Medic Wade | Jeremy Davies as Corporal Upham | Matt Damon as Private Ryan | Ted Danson as Captain Hamill,857
Double Indemnity,https://cinejoy.to/movie/996-double-indemnity-1944,https://image.tmdb.org/t/p/w500/rVNYZZgfhwqVMMWlBmxOfWqnwCj.jpg,1944-07-06,8.086,107,,Billy Wilder,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",en,Fred MacMurray as Walter Neff | Barbara Stanwyck as Phyllis Dietrichson | Edward G. Robinson as Barton Keyes | Porter Hall as Mr. Jackson | Jean Heather as Lola Dietrichson | Tom Powers as Mr. Dietrichson | Byron Barr as Nino Zachetti | Richard Gaines as Mr. Norton | Fortunio Bonanova as Sam Garlopis | John Philliber as Joe Pete,996
The Treasure of the Sierra Madre,https://cinejoy.to/movie/3090-the-treasure-of-the-sierra-madre-1948,https://image.tmdb.org/t/p/w500/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg,1948-01-15,7.949,126,,John Huston,"Two jobless Americans convince a prospector to travel to the mountains of Mexico with them in search of gold. But the hostile wilderness, local bandits, and greed all get in the way of their journey.",en,Humphrey Bogart as Fred C. Dobbs | Walter Huston as Howard | Tim Holt as Bob Curtin | Bruce Bennett as James Cody | Barton MacLane as Pat McCormick | Alfonso Bedoya as Gold Hat | Arturo Soto Rangel as El Presidente | Manuel Dondé as El Jefe | José Torvay as Pablo | Robert Blake as Mexican Boy Selling Lottery Tickets (uncredited),3090
The Apartment,https://cinejoy.to/movie/284-the-apartment-1960,https://image.tmdb.org/t/p/w500/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,1960-06-21,8.182,126,,Billy Wilder,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",en,Jack Lemmon as C.C. Baxter | Shirley MacLaine as Fran Kubelik | Fred MacMurray as Jeff D. Sheldrake | Ray Walston as Joe Dobisch | Jack Kruschen as Dr. Dreyfuss | David Lewis as Al Kirkeby | Hope Holiday as Margie MacDougall | Joan Shawlee as Sylvia | Naomi Stevens as Mrs. Mildred Dreyfuss | Johnny Seven as Karl Matuschka,284
I'm Still Here,https://cinejoy.to/movie/1000837-i-m-still-here-2024,https://image.tmdb.org/t/p/w500/gZnsMbhCvhzAQlKaVpeFRHYjGyb.jpg,2024-09-19,7.913,138,,Walter Salles,A woman married to a former politician during the 1971 military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,pt,Fernanda Torres as Eunice Paiva | Fernanda Montenegro as Eunice Paiva (Older) | Selton Mello as Rubens Paiva | Valentina Herszage as Veroca | Maria Manoella as Veroca | Bárbara Luz as Nalu | Gabriela Carneiro da Cunha as Nalu | Luiza Kosovski as Eliana | Marjorie Estiano as Eliana | Pri Helena as Zezé,1000837
The Pianist,https://cinejoy.to/movie/423-the-pianist-2002,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,2002-09-17,8.371,150,,Roman Polanski,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",en,Adrien Brody as Władysław 'Władek' Szpilman | Thomas Kretschmann as Captain Wilm Hosenfeld | Frank Finlay as Father | Maureen Lipman as Mother | Emilia Fox as Dorota | Ed Stoppard as Henryk Szpilman | Julia Rayner as Regina Szpilman | Jessica Kate Meyer as Halina Szpilman | Michał Żebrowski as Jurek | Wanja Mues as SS Slapping Father,423
Children of Men,https://cinejoy.to/movie/9693-children-of-men-2006,https://image.tmdb.org/t/p/w500/k9IAS4TehZFcKi4HVByxZNPfqex.jpg,2006-09-22,7.615,109,,Alfonso Cuarón,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",en,Clive Owen as Theo Faron | Clare-Hope Ashitey as Kee | Chiwetel Ejiofor as Luke | Julianne Moore as Julian | Michael Caine as Jasper | Pam Ferris as Miriam | Charlie Hunnam as Patric | Danny Huston as Nigel | Peter Mullan as Syd | Oana Pellea as Marichka,9693
Mystic River,https://cinejoy.to/movie/322-mystic-river-2003,https://image.tmdb.org/t/p/w500/hCHVDbo6XJGj3r2i4hVjKhE0GKF.jpg,2003-10-08,7.743,138,,Clint Eastwood,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,en,Sean Penn as Jimmy Markum | Tim Robbins as Dave Boyle | Kevin Bacon as Sean Devine | Laurence Fishburne as Whitey Powers | Marcia Gay Harden as Celeste Boyle | Laura Linney as Annabeth Markum | Kevin Chapman as Val Savage | Tom Guiry as Brendan Harris | Emmy Rossum as Katie Markum | Spencer Treat Clark as Silent Ray Harris,322
Casino,https://cinejoy.to/movie/524-casino-1995,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,7.998,179,,Martin Scorsese,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",en,Robert De Niro as Sam 'Ace' Rothstein | Sharon Stone as Ginger McKenna | Joe Pesci as Nicky Santoro | James Woods as Lester Diamond | Don Rickles as Billy Sherbert | Alan King as Andy Stone | Kevin Pollak as Phillip Green | L.Q. Jones as Pat Webb | Dick Smothers as Senator | Frank Vincent as Frank Marino,524
The Shining,https://cinejoy.to/movie/694-the-shining-1980,https://image.tmdb.org/t/p/w500/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg,1980-05-23,8.201,144,,Stanley Kubrick,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",en,Jack Nicholson as Jack Torrance | Shelley Duvall as Wendy Torrance | Danny Lloyd as Danny | Scatman Crothers as Hallorann | Barry Nelson as Ullman | Philip Stone as Grady | Joe Turkel as Lloyd | Anne Jackson as Doctor | Tony Burton as Durkin | Lia Beldam as Young Woman in Bath,694
Memento,https://cinejoy.to/movie/77-memento-2000,https://image.tmdb.org/t/p/w500/nzlv62aC0octS5AklAiWpXLX9Z0.jpg,2000-10-11,8.173,113,,Christopher Nolan,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",en,Guy Pearce as Leonard | Carrie-Anne Moss as Natalie | Joe Pantoliano as Teddy | Mark Boone Junior as Burt | Russ Fega as Waiter | Jorja Fox as Leonard's Wife | Stephen Tobolowsky as Sammy | Harriet Sansom Harris as Mrs. Jankis | Thomas Lennon as Doctor | Callum Keith Rennie as Dodd,77
Blackfish,https://cinejoy.to/movie/158999-blackfish-2013,https://image.tmdb.org/t/p/w500/kCk4mDFE96Mn1AYfEcbxkIiw7ND.jpg,2013-06-07,7.851,83,,Gabriela Cowperthwaite,"Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity.",en,Dean Gomersall as Self | Samantha Berg as Self | John Jett as Self | John Hargrove as Self | Carol Ray as Self | Jeffrey Ventre as Self | Kim Ashdown as Self | Ken Balcomb as Self | Mark Simmons as Self | Thomas Tobin as Self,158999
Nightcrawler,https://cinejoy.to/movie/242582-nightcrawler-2014,https://image.tmdb.org/t/p/w500/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,2014-10-23,7.709,118,,Dan Gilroy,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",en,Jake Gyllenhaal as Louis Bloom | Rene Russo as Nina Romina | Riz Ahmed as Rick | Bill Paxton as Joe Loder | Kevin Rahm as Frank Kruse | Michael Hyatt as Detective Frontieri | Price Carson as Detective Lieberman | Ann Cusack as Linda | Kent Shocknek as Kent Shocknek | Sharon Tay as Sharon Tay,242582
Get Out,https://cinejoy.to/movie/419430-get-out-2017,https://image.tmdb.org/t/p/w500/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,2017-02-24,7.625,104,,Jordan Peele,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",en,Daniel Kaluuya as Chris Washington | Allison Williams as Rose Armitage | Catherine Keener as Missy Armitage | Bradley Whitford as Dean Armitage | Caleb Landry Jones as Jeremy Armitage | Marcus Henderson as Walter | Betty Gabriel as Georgina | LaKeith Stanfield as Andre Logan King | Stephen Root as Jim Hudson | Lil Rel Howery as Rod Williams,419430
The Bourne Ultimatum,https://cinejoy.to/movie/2503-the-bourne-ultimatum-2007,https://image.tmdb.org/t/p/w500/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,2007-08-03,7.443,115,,Paul Greengrass,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",en,Matt Damon as Jason Bourne | Julia Stiles as Nicky Parsons | David Strathairn as Noah Vosen | Scott Glenn as CIA Director Ezra Kramer | Paddy Considine as Simon Ross | Edgar Ramírez as Paz | Albert Finney as Dr. Albert Hirsch | Joan Allen as Pamela Landy | Tom Gallop as Tom Cronin | Corey Johnson as Conrad Wills,2503
Gone Girl,https://cinejoy.to/movie/210577-gone-girl-2014,https://image.tmdb.org/t/p/w500/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,2014-10-01,7.889,149,,David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",en,Ben Affleck as Nick Dunne | Rosamund Pike as Amy Dunne | Neil Patrick Harris as Desi Collings | Tyler Perry as Tanner Bolt | Carrie Coon as Margo Dunne | Kim Dickens as Detective Rhonda Boney | Patrick Fugit as Officer James Gilpin | David Clennon as Rand Elliott | Lisa Banes as Marybeth Elliott | Missi Pyle as Ellen Abbott,210577
Black Swan,https://cinejoy.to/movie/44214-black-swan-2010,https://image.tmdb.org/t/p/w500/viWheBd44bouiLCHgNMvahLThqx.jpg,2010-12-03,7.682,108,,Darren Aronofsky,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake.""",en,Natalie Portman as Nina Sayers / The Swan Queen | Mila Kunis as Lily / The Black Swan | Vincent Cassel as Thomas Leroy / The Gentleman | Barbara Hershey as Erica Sayers / The Queen | Winona Ryder as Beth Macintyre / The Dying Swan | Benjamin Millepied as David Moreau / The Prince | Ksenia Solo as Veronica / Little Swan | Kristina Anapau as Galina / Little Swan | Janet Montgomery as Madeline / Little Swan | Sebastian Stan as Andrew / Suitor,44214
The Prestige,https://cinejoy.to/movie/1124-the-prestige-2006,https://image.tmdb.org/t/p/w500/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,2006-10-19,8.211,130,,Christopher Nolan,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",en,Hugh Jackman as Robert Angier | Christian Bale as Alfred Borden | Michael Caine as Cutter | Piper Perabo as Julia McCullough | Rebecca Hall as Sarah | Scarlett Johansson as Olivia Wenscombe | Samantha Mahurin as Jess | David Bowie as Tesla | Andy Serkis as Alley | Daniel Davis as Judge,1124
The Sixth Sense,https://cinejoy.to/movie/745-the-sixth-sense-1999,https://image.tmdb.org/t/p/w500/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg,1999-08-06,7.954,107,,M. Night Shyamalan,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",en,Bruce Willis as Malcolm Crowe | Haley Joel Osment as Cole Sear | Toni Collette as Lynn Sear | Olivia Williams as Anna Crowe | Trevor Morgan as Tommy Tammisimo | Donnie Wahlberg as Vincent Gray | Peter Anthony Tambakis as Darren | Jeffrey Zubernis as Bobby | Bruce Norris as Stanley Cunningham | Glenn Fitzgerald as Sean,745
"The Cook, the Thief, His Wife & Her Lover",https://cinejoy.to/movie/7452-the-cook-the-thief-his-wife-her-lover-1989,https://image.tmdb.org/t/p/w500/15xMqAnFsROopAT66zdRyu2Dtek.jpg,1989-10-13,7.332,124,,Peter Greenaway,"When churlish mobster Albert Spica acquires an upscale French restaurant in London, he dines there nightly, effectively scaring off the clientele with his bad manners. His wife, Georgina, is especially disgusted by him, and soon begins an affair with regular guest Michael. Despite their best efforts to keep it secret, Spica learns about their trysts, and he plots a terrible revenge.",en,Michael Gambon as Albert Spica | Richard Bohringer as Richard Boarst | Helen Mirren as Georgina Spica | Alan Howard as Michael | Tim Roth as Mitchel | Ciarán Hinds as Cory | Liz Smith as Grace | Gary Olsen as Spangler | Ewan Stewart as Harris | Roger Ashton-Griffiths as Turpin,7452
Misery,https://cinejoy.to/movie/1700-misery-1990,https://image.tmdb.org/t/p/w500/klPO5oh1LOxiPpdDXZo1ADgpKcw.jpg,1990-11-30,7.753,107,,Rob Reiner,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.",en,Kathy Bates as Annie Wilkes | James Caan as Paul Sheldon | Richard Farnsworth as Buster | Lauren Bacall as Marcia Sindell | Frances Sternhagen as Virginia | Graham Jarvis as Libby | Jerry Potter as Pete | Thomas Brunelle as Anchorman | June Christopher as Anchorwoman | Julie Payne as Reporter #1,1700
The Talented Mr. Ripley,https://cinejoy.to/movie/1213-the-talented-mr-ripley-1999,https://image.tmdb.org/t/p/w500/6ojHgqtIR41O2qLKa7LFUVj0cZa.jpg,1999-12-25,7.195,140,,Anthony Minghella,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",en,Matt Damon as Tom Ripley | Gwyneth Paltrow as Marge Sherwood | Jude Law as Dickie Greenleaf | Cate Blanchett as Meredith Logue | Philip Seymour Hoffman as Freddie Miles | Jack Davenport as Peter Smith-Kingsley | James Rebhorn as Herbert Greenleaf | Sergio Rubini as Inspector Roverini | Philip Baker Hall as Alvin MacCarron | Celia Weston as Aunt Joan,1213
Moon,https://cinejoy.to/movie/17431-moon-2009,https://image.tmdb.org/t/p/w500/35IU0Mq0zFsN1mYwDGts5mKc77n.jpg,2009-06-12,7.562,97,,Duncan Jones,"With only three weeks left in his three-year contract, Sam Bell is eager to return to Earth. Stationed alone at a Moon-based facility with his computer assistant GERTY, an unexpected accident sets off a series of unsettling events that shake his isolation.",en,Sam Rockwell as Sam Bell | Kevin Spacey as GERTY (voice) | Dominique McElligott as Tess Bell | Rosie Shaw as Little Eve | Adrienne Shaw as Nanny | Kaya Scodelario as Eve | Benedict Wong as Thompson | Matt Berry as Overmeyers | Malcolm Stewart as Technician | Robin Chalk as Sam Bell Clone,17431
Prisoners,https://cinejoy.to/movie/146233-prisoners-2013,https://image.tmdb.org/t/p/w500/uhviyknTT5cEQXbn6vWIqfM4vGm.jpg,2013-09-19,8.105,153,,Denis Villeneuve,"After his six-year-old daughter is abducted, a desperate father takes justice into his own hands when he loses faith in the detective leading the investigation, setting both men on a collision course as the search descends into obsession and moral compromise.",en,Hugh Jackman as Keller Dover | Jake Gyllenhaal as Detective Loki | Viola Davis as Nancy Birch | Maria Bello as Grace Dover | Terrence Howard as Franklin Birch | Melissa Leo as Holly Jones | Paul Dano as Alex Jones | Dylan Minnette as Ralph Dover | Zoë Soul as Eliza Birch | Erin Gerasimovich as Anna Dover,146233
Léon: The Professional,https://cinejoy.to/movie/101-leon-the-professional-1994,https://image.tmdb.org/t/p/w500/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,1994-09-14,8.29,111,,Luc Besson,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",fr,Jean Reno as Léon Montana | Natalie Portman as Mathilda Lando | Gary Oldman as Norman Stansfield | Danny Aiello as Old Tony | Peter Appel as Agent Malky | Michael Badalucco as Mathilda's Father | Ellen Greene as Mathilda's Mother | Frank Senger as Fatman | Elizabeth Regen as Mathilda's Sister | Carl J. Matusovich as Mathilda's Brother,101
The Bourne Identity,https://cinejoy.to/movie/2501-the-bourne-identity-2002,https://image.tmdb.org/t/p/w500/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,2002-06-14,7.485,119,,Doug Liman,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",en,Matt Damon as Jason Bourne | Franka Potente as Marie Helena Kreutz | Chris Cooper as Alexander Conklin | Clive Owen as The Professor | Brian Cox as Ward Abbott | Adewale Akinnuoye-Agbaje as Nykwana Wombosi | Gabriel Mann as Danny Zorn | Julia Stiles as Nicky Parsons | Walton Goggins as Research Tech | Josh Hamilton as Research Tech,2501
Shutter Island,https://cinejoy.to/movie/11324-shutter-island-2010,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,2010-02-14,8.197,138,,Martin Scorsese,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",en,Leonardo DiCaprio as Teddy Daniels | Mark Ruffalo as Chuck Aule | Ben Kingsley as Dr. Cawley | Max von Sydow as Dr. Naehring | Michelle Williams as Dolores | Emily Mortimer as Rachel 1 | Patricia Clarkson as Rachel 2 | Jackie Earle Haley as George Noyce | Ted Levine as Warden | John Carroll Lynch as Deputy Warden McPherson,11324
